event-id,visible,timestamp,location-long,location-lat,behavioural-classification,comments,location-error-text,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,utm-easting,utm-northing,utm-zone
260309037,true,1995-04-08 12:30:00.000,14.4074584248,45.8736081576,"ii","orca","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",454013.8013827221,5080175.3376568165,"33N"
260309038,true,1995-04-10 13:00:00.000,14.4074584248,45.8736081576,"ii","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",454013.8013827221,5080175.3376568165,"33N"
260309039,true,1995-04-11 13:00:00.000,14.4074584248,45.8736081576,"ii","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",454013.8013827221,5080175.3376568165,"33N"
260309040,true,1995-04-21 07:00:00.000,14.4074584248,45.8736081576,"aa","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",454013.8013827221,5080175.3376568165,"33N"
260309041,true,1995-04-24 07:00:00.000,14.4004490574,45.8665982506,"nm","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",453463.9663968586,5079400.570179968,"33N"
260309042,true,1995-04-25 08:50:00.000,14.4004514756,45.8663733165,"ii","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",453463.96639582154,5079375.577674909,"33N"
260309043,true,1995-04-26 07:00:00.000,14.4004514756,45.8663733165,"aa","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",453463.96639582154,5079375.577674909,"33N"
260309044,true,1995-04-27 07:00:00.000,14.4004514756,45.8663733165,"aa","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",453463.96639582154,5079375.577674909,"33N"
260309045,true,1995-04-28 17:00:00.000,14.386646207,45.8627008979,"aa","","4","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",452389.2889322082,5078975.697695964,"33N"
260309046,true,1995-04-29 11:00:00.000,14.3884989988,45.8699091244,"nm","","4","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",452539.2439218281,5079775.457661725,"33N"
260309047,true,1995-05-02 14:00:00.000,14.3841366755,45.8858568841,"nm","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",452214.3414325834,5081549.925111068,"33N"
260309048,true,1995-05-05 11:40:00.000,14.3857247892,45.887889946,"aa","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",452339.3039342459,5081774.857607362,"33N"
260309049,true,1995-05-10 16:20:00.000,14.3912741546,45.8811712617,"aa","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",452764.1764169042,5081025.0826310245,"33N"
260309050,true,1995-05-15 14:50:00.000,14.3764368342,45.8831157728,"aa","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",451614.52145521203,5081250.015117371,"33N"
260309051,true,1995-05-16 13:30:00.000,14.3835994737,45.8761813015,"ii","","2","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",452164.3564326988,5080475.247649237,"33N"
260309052,true,1995-05-17 09:20:00.000,14.3848627723,45.8784375725,"aa","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",452264.32643402804,5080725.172638972,"33N"
260309053,true,1995-05-19 13:20:00.000,14.3842236565,45.8779842376,"ii","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",452214.3414343162,5080675.187643904,"33N"
260309054,true,1995-05-20 11:00:00.000,14.3842286258,45.8775343717,"aa","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",452214.34143818764,5080625.202639887,"33N"
260309055,true,1995-05-21 20:30:00.000,14.388098014,45.8771052651,"nm","hert her snobbing","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",452514.25142421934,5080575.217642917,"33N"
260309056,true,1995-05-23 09:15:00.000,14.3839264746,45.8757331722,"nm","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",452189.3489330281,5080425.262648072,"33N"
260309057,true,1995-05-24 14:30:00.000,14.3816049178,45.8817941814,"aa","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",452014.4014431449,5081100.060121952,"33N"
260309058,true,1995-05-30 08:15:00.000,14.384208748,45.8793338349,"aa","","3","radio-transmitter","Ursus arctos","ancka","ancka","Brown bear Slovenia 1993-1999",452214.3414309448,5080825.142635442,"33N"
